Tên_mặt_hàng,Thị_trường,Loại_giá,Đơn_vị_tính,Loại_tiền,Nguồn,Ngày,Giá,Ngành_hàng
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/28/2025 12:00:00 AM,133967.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/27/2025 12:00:00 AM,133367.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/27/2025 12:00:00 AM,133350.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/27/2025 12:00:00 AM,133267.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/27/2025 12:00:00 AM,133300.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/27/2025 12:00:00 AM,133450.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/26/2025 12:00:00 AM,135467.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/26/2025 12:00:00 AM,135450.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/26/2025 12:00:00 AM,135267.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/26/2025 12:00:00 AM,135300.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/26/2025 12:00:00 AM,133950.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/25/2025 12:00:00 AM,133767.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,3/25/2025 12:00:00 AM,133450.0,Cà phê
