Tên_mặt_hàng,Ngày,Actual_Giá,Forecasted_Giá
34,2021-04-21,6800.0,40927.44921875
34,2021-04-22,6350.0,34840.01171875
34,2021-04-22,6500.0,30610.55078125
34,2021-04-23,5900.0,38051.72265625
34,2021-04-23,6000.0,25809.08984375
34,2021-04-26,6900.0,51836.99609375
34,2021-04-27,6100.0,18052.171875
34,2021-04-28,6800.0,40112.0
34,2021-04-29,6200.0,33570.0
34,2021-04-29,6000.0,37000.23046875
34,2021-04-30,5900.0,29154.12890625
34,2021-04-30,6200.0,24307.84765625
34,2021-05-04,6200.0,50887.91015625
34,2021-05-05,6700.0,39235.73046875
34,2021-05-06,6500.0,32238.49609375
34,2021-05-06,6000.0,35864.83203125
34,2021-05-07,6100.0,27664.35546875
34,2021-05-07,5900.0,49889.01171875
34,2021-05-10,6966.67,22842.99609375
34,2021-05-12,6800.0,19387.390625
34,2021-05-13,6200.0,30859.59375
34,2021-05-13,6100.0,34659.5703125
34,2021-05-14,6000.0,26149.69921875
34,2021-05-14,6300.0,21430.37109375
34,2021-05-16,5400.0,48878.14453125
34,2021-05-17,5400.0,19843.654296875
34,2021-05-17,6100.0,37456.55859375
34,2021-05-19,7000.0,19912.88671875
34,2021-05-20,6000.0,29470.71875
34,2021-05-21,6100.0,24694.98046875
34,2021-05-23,5500.0,47876.10546875
34,2021-05-24,6100.0,20290.904296875
34,2021-05-25,6000.0,20347.880859375
34,2021-05-26,6600.0,19413.685546875
34,2021-05-27,6200.0,28105.865234375
34,2021-05-27,6000.0,32221.755859375
34,2021-05-28,8000.0,23360.423828125
34,2021-05-28,6000.0,52193.57421875
34,2021-05-28,6100.0,18923.9921875
34,2021-05-30,5400.0,46881.71875
34,2021-06-02,6500.0,20656.63671875
34,2021-06-03,5900.0,26777.9375
34,2021-06-03,6000.0,22137.021484375
34,2021-06-04,6100.0,31022.8046875
34,2021-06-04,8000.0,45914.12109375
34,2021-06-07,5000.0,51426.33203125
34,2021-06-07,5400.0,34370.19140625
34,2021-06-09,6500.0,20986.169921875
34,2021-06-10,6200.0,25556.263671875
34,2021-06-11,5400.0,29884.765625
34,2021-06-13,5400.0,44993.93359375
34,2021-06-14,5200.0,21179.16796875
34,2021-06-14,5400.0,33413.4609375
34,2021-06-16,6700.0,21207.125
34,2021-06-17,5600.0,24480.796875
34,2021-06-18,5300.0,28833.423828125
34,2021-06-18,8000.0,16845.408203125
34,2021-06-18,5200.0,50026.53515625
34,2021-06-20,5400.0,44178.44140625
34,2021-06-21,5100.0,21354.07421875
34,2021-06-21,5300.0,21375.30078125
34,2021-06-27,5400.0,32523.6484375
34,2021-06-28,5100.0,21486.345703125
34,2021-07-01,5400.0,31737.43359375
34,2021-07-01,5300.0,27097.5703125
34,2021-07-02,5200.0,18542.556640625
34,2021-07-05,5200.0,17003.478515625
34,2021-07-07,7000.0,31069.560546875
34,2021-07-07,5500.0,22129.4453125
34,2021-07-08,5400.0,42724.9296875
34,2021-07-08,5400.0,26444.12890625
34,2021-07-09,5600.0,18038.5625
34,2021-07-12,5400.0,17101.556640625
34,2021-07-14,7000.0,30546.462890625
